Graph Data Hourly Solar Insolation
http://www.pveducation.org/
Latitude: 41°
Day: 1 (Jan 1)
hour (h)	insolation (kW/m²)
6.96	0.000e+0
7.02	0.000e+0
7.08	0.000e+0
7.14	0.000e+0
7.2	0.000e+0
7.26	0.000e+0
7.32	0.000e+0
7.38	0.000e+0
7.44	0.000e+0
7.5	0.000e+0
7.56	0.000e+0
7.62	0.000e+0
7.68	0.06062
7.74	0.09506
7.8	0.1306
7.86	0.1658
7.92	0.1998
7.98	0.2323
8.04	0.2631
8.1	0.2921
8.16	0.3194
8.22	0.3452
8.28	0.3694
8.34	0.3922
8.4	0.4137
8.46	0.434
8.52	0.4531
8.58	0.4712
8.64	0.4883
8.7	0.5045
8.76	0.5199
8.82	0.5345
8.88	0.5483
8.94	0.5614
9	0.5739
9.06	0.5858
9.12	0.5972
9.18	0.6079
9.24	0.6182
9.3	0.628
9.36	0.6374
9.42	0.6463
9.48	0.6549
9.54	0.663
9.6	0.6708
9.66	0.6782
9.72	0.6853
9.78	0.6921
9.84	0.6986
9.9	0.7048
9.96	0.7108
10.02	0.7164
10.08	0.7218
10.14	0.727
10.2	0.7319
10.26	0.7366
10.32	0.7411
10.38	0.7454
10.44	0.7494
10.5	0.7533
10.56	0.757
10.62	0.7605
10.68	0.7638
10.74	0.7669
10.8	0.7699
10.86	0.7726
10.92	0.7753
10.98	0.7777
11.04	0.78
11.1	0.7822
11.16	0.7842
11.22	0.786
11.28	0.7877
11.34	0.7893
11.4	0.7907
11.46	0.792
11.52	0.7931
11.58	0.7941
11.64	0.795
11.7	0.7957
11.76	0.7963
11.82	0.7968
11.88	0.7971
11.94	0.7973
12	0.7974
12.06	0.7973
12.12	0.7971
12.18	0.7968
12.24	0.7963
12.3	0.7957
12.36	0.795
12.42	0.7941
12.48	0.7931
12.54	0.792
12.6	0.7907
12.66	0.7893
12.72	0.7877
12.78	0.786
12.84	0.7842
12.9	0.7822
12.96	0.78
13.02	0.7777
13.08	0.7753
13.14	0.7726
13.2	0.7699
13.26	0.7669
13.32	0.7638
13.38	0.7605
13.44	0.757
13.5	0.7533
13.56	0.7494
13.62	0.7454
13.68	0.7411
13.74	0.7366
13.8	0.7319
13.86	0.727
13.92	0.7218
13.98	0.7164
14.04	0.7108
14.1	0.7048
14.16	0.6986
14.22	0.6921
14.28	0.6853
14.34	0.6782
14.4	0.6708
14.46	0.663
14.52	0.6549
14.58	0.6463
14.64	0.6374
14.7	0.628
14.76	0.6182
14.82	0.6079
14.88	0.5972
14.94	0.5858
15	0.5739
15.06	0.5614
15.12	0.5483
15.18	0.5345
15.24	0.5199
15.3	0.5045
15.36	0.4883
15.42	0.4712
15.48	0.4531
15.54	0.434
15.6	0.4137
15.66	0.3922
15.72	0.3694
15.78	0.3452
15.84	0.3194
15.9	0.2921
15.96	0.2631
16.02	0.2323
16.08	0.1998
16.14	0.1658
16.2	0.1306
16.26	0.09506
16.32	0.06062
16.38	0.000e+0
16.44	0.000e+0
16.5	0.000e+0
16.56	0.000e+0
16.62	0.000e+0
16.68	0.000e+0
16.74	0.000e+0
16.8	0.000e+0
16.86	0.000e+0
16.92	0.000e+0
16.98	0.000e+0
17.04	0.000e+0
