Graph Data Hourly Solar Insolation
http://www.pveducation.org/
Latitude: 41°
Day: 181 (Jun 30)
hour (h)	insolation (kW/m²)
4.02	0.000e+0
4.08	0.000e+0
4.14	0.000e+0
4.2	0.000e+0
4.26	0.000e+0
4.32	0.000e+0
4.38	0.000e+0
4.44	0.000e+0
4.5	0.000e+0
4.56	0.000e+0
4.62	0.000e+0
4.68	0.000e+0
4.74	0.000e+0
4.8	0.0764
4.86	0.1138
4.92	0.1519
4.98	0.1895
5.04	0.2258
5.1	0.2605
5.16	0.2935
5.22	0.3247
5.28	0.3543
5.34	0.3823
5.4	0.4088
5.46	0.4338
5.52	0.4575
5.58	0.48
5.64	0.5013
5.7	0.5216
5.76	0.5409
5.82	0.5592
5.88	0.5767
5.94	0.5934
6	0.6093
6.06	0.6245
6.12	0.6391
6.18	0.6531
6.24	0.6664
6.3	0.6792
6.36	0.6915
6.42	0.7033
6.48	0.7147
6.54	0.7256
6.6	0.7361
6.66	0.7462
6.72	0.756
6.78	0.7654
6.84	0.7744
6.9	0.7832
6.96	0.7916
7.02	0.7998
7.08	0.8077
7.14	0.8153
7.2	0.8227
7.26	0.8298
7.32	0.8367
7.38	0.8434
7.44	0.8499
7.5	0.8561
7.56	0.8622
7.62	0.8681
7.68	0.8738
7.74	0.8793
7.8	0.8847
7.86	0.8899
7.92	0.895
7.98	0.8999
8.04	0.9046
8.1	0.9092
8.16	0.9137
8.22	0.9181
8.28	0.9223
8.34	0.9264
8.4	0.9304
8.46	0.9342
8.52	0.938
8.58	0.9416
8.64	0.9452
8.7	0.9486
8.76	0.9519
8.82	0.9552
8.88	0.9583
8.94	0.9614
9	0.9643
9.06	0.9672
9.12	0.97
9.18	0.9727
9.24	0.9753
9.3	0.9779
9.36	0.9804
9.42	0.9828
9.48	0.9851
9.54	0.9873
9.6	0.9895
9.66	0.9916
9.72	0.9936
9.78	0.9956
9.84	0.9975
9.9	0.9994
9.96	1.001
10.02	1.003
10.08	1.004
10.14	1.006
10.2	1.008
10.26	1.009
10.32	1.011
10.38	1.012
10.44	1.013
10.5	1.014
10.56	1.016
10.62	1.017
10.68	1.018
10.74	1.019
10.8	1.02
10.86	1.021
10.92	1.022
10.98	1.023
11.04	1.023
11.1	1.024
11.16	1.025
11.22	1.025
11.28	1.026
11.34	1.026
11.4	1.027
11.46	1.027
11.52	1.028
11.58	1.028
11.64	1.028
11.7	1.029
11.76	1.029
11.82	1.029
11.88	1.029
11.94	1.029
12	1.029
12.06	1.029
12.12	1.029
12.18	1.029
12.24	1.029
12.3	1.029
12.36	1.028
12.42	1.028
12.48	1.028
12.54	1.027
12.6	1.027
12.66	1.026
12.72	1.026
12.78	1.025
12.84	1.025
12.9	1.024
12.96	1.023
13.02	1.023
13.08	1.022
13.14	1.021
13.2	1.02
13.26	1.019
13.32	1.018
13.38	1.017
13.44	1.016
13.5	1.014
13.56	1.013
13.62	1.012
13.68	1.011
13.74	1.009
13.8	1.008
13.86	1.006
13.92	1.004
13.98	1.003
14.04	1.001
14.1	0.9994
14.16	0.9975
14.22	0.9956
14.28	0.9936
14.34	0.9916
14.4	0.9895
14.46	0.9873
14.52	0.9851
14.58	0.9828
14.64	0.9804
14.7	0.9779
14.76	0.9753
14.82	0.9727
14.88	0.97
14.94	0.9672
15	0.9643
15.06	0.9614
15.12	0.9583
15.18	0.9552
15.24	0.9519
15.3	0.9486
15.36	0.9452
15.42	0.9416
15.48	0.938
15.54	0.9342
15.6	0.9304
15.66	0.9264
15.72	0.9223
15.78	0.9181
15.84	0.9137
15.9	0.9092
15.96	0.9046
16.02	0.8999
16.08	0.895
16.14	0.8899
16.2	0.8847
16.26	0.8793
16.32	0.8738
16.38	0.8681
16.44	0.8622
16.5	0.8561
16.56	0.8499
16.62	0.8434
16.68	0.8367
16.74	0.8298
16.8	0.8227
16.86	0.8153
16.92	0.8077
16.98	0.7998
17.04	0.7916
17.1	0.7832
17.16	0.7744
17.22	0.7654
17.28	0.756
17.34	0.7462
17.4	0.7361
17.46	0.7256
17.52	0.7147
17.58	0.7033
17.64	0.6915
17.7	0.6792
17.76	0.6664
17.82	0.6531
17.88	0.6391
17.94	0.6245
18	0.6093
18.06	0.5934
18.12	0.5767
18.18	0.5592
18.24	0.5409
18.3	0.5216
18.36	0.5013
18.42	0.48
18.48	0.4575
18.54	0.4338
18.6	0.4088
18.66	0.3823
18.72	0.3543
18.78	0.3247
18.84	0.2935
18.9	0.2605
18.96	0.2258
19.02	0.1895
19.08	0.1519
19.14	0.1138
19.2	0.0764
19.26	0.000e+0
19.32	0.000e+0
19.38	0.000e+0
19.44	0.000e+0
19.5	0.000e+0
19.56	0.000e+0
19.62	0.000e+0
19.68	0.000e+0
19.74	0.000e+0
19.8	0.000e+0
19.86	0.000e+0
19.92	0.000e+0
19.98	0.000e+0
