Graph Data Incident Insolation
http://www.pveducation.org/
Latitude: 41°
Array Tilt: 65°
day	incidents	horizonals	modules
0.000e+0	4.816	2.105	4.816
1	4.829	2.116	4.828
2	4.843	2.128	4.842
3	4.859	2.142	4.858
4	4.876	2.157	4.875
5	4.895	2.173	4.894
6	4.916	2.191	4.914
7	4.938	2.209	4.936
8	4.962	2.229	4.96
9	4.987	2.251	4.985
10	5.014	2.273	5.011
11	5.042	2.297	5.038
12	5.071	2.322	5.067
13	5.101	2.348	5.096
14	5.132	2.375	5.127
15	5.164	2.403	5.158
16	5.197	2.432	5.19
17	5.23	2.462	5.223
18	5.264	2.493	5.256
19	5.299	2.525	5.289
20	5.334	2.558	5.323
21	5.369	2.592	5.357
22	5.405	2.626	5.391
23	5.441	2.662	5.426
24	5.477	2.698	5.46
25	5.513	2.734	5.494
26	5.549	2.772	5.528
27	5.585	2.81	5.562
28	5.621	2.849	5.596
29	5.657	2.888	5.629
30	5.693	2.928	5.662
31	5.728	2.969	5.695
32	5.764	3.01	5.727
33	5.799	3.052	5.759
34	5.834	3.094	5.79
35	5.868	3.137	5.821
36	5.903	3.18	5.851
37	5.939	3.225	5.882
38	5.98	3.273	5.919
39	6.027	3.325	5.961
40	6.079	3.381	6.008
41	6.133	3.439	6.056
42	6.189	3.498	6.106
43	6.246	3.558	6.156
44	6.302	3.62	6.205
45	6.358	3.681	6.254
46	6.413	3.743	6.301
47	6.467	3.805	6.347
48	6.52	3.868	6.392
49	6.572	3.93	6.434
50	6.622	3.992	6.476
51	6.672	4.054	6.515
52	6.72	4.116	6.553
53	6.767	4.178	6.59
54	6.812	4.24	6.624
55	6.857	4.301	6.657
56	6.9	4.363	6.689
57	6.942	4.424	6.719
58	6.984	4.485	6.747
59	7.024	4.546	6.774
60	7.063	4.606	6.799
61	7.104	4.669	6.826
62	7.154	4.737	6.861
63	7.212	4.811	6.902
64	7.273	4.889	6.946
65	7.336	4.968	6.992
66	7.399	5.047	7.036
67	7.461	5.126	7.079
68	7.521	5.205	7.12
69	7.58	5.284	7.159
70	7.637	5.361	7.195
71	7.692	5.437	7.229
72	7.745	5.513	7.26
73	7.796	5.587	7.288
74	7.845	5.66	7.315
75	7.892	5.733	7.339
76	7.938	5.804	7.361
77	7.982	5.874	7.38
78	8.024	5.944	7.398
79	8.065	6.012	7.414
80	8.105	6.079	7.427
81	8.143	6.146	7.439
82	8.18	6.211	7.449
83	8.222	6.28	7.463
84	8.273	6.357	7.485
85	8.33	6.438	7.511
86	8.39	6.522	7.54
87	8.451	6.606	7.569
88	8.511	6.69	7.596
89	8.57	6.773	7.621
90	8.626	6.855	7.643
91	8.681	6.934	7.664
92	8.733	7.012	7.681
93	8.783	7.089	7.696
94	8.831	7.163	7.709
95	8.877	7.236	7.719
96	8.921	7.306	7.727
97	8.963	7.376	7.732
98	9.003	7.443	7.736
99	9.042	7.509	7.738
100	9.078	7.573	7.738
101	9.114	7.636	7.736
102	9.148	7.697	7.733
103	9.18	7.757	7.728
104	9.212	7.816	7.722
105	9.248	7.878	7.719
106	9.292	7.947	7.723
107	9.342	8.02	7.731
108	9.394	8.095	7.741
109	9.446	8.17	7.75
110	9.498	8.244	7.759
111	9.548	8.317	7.766
112	9.597	8.388	7.771
113	9.643	8.456	7.774
114	9.688	8.523	7.776
115	9.73	8.588	7.776
116	9.771	8.65	7.774
117	9.81	8.711	7.77
118	9.847	8.769	7.765
119	9.882	8.826	7.758
120	9.915	8.88	7.75
121	9.947	8.933	7.741
122	9.978	8.984	7.731
123	10.01	9.033	7.72
124	10.03	9.081	7.708
125	10.06	9.127	7.695
126	10.09	9.171	7.681
127	10.11	9.214	7.666
128	10.13	9.255	7.651
129	10.16	9.296	7.637
130	10.18	9.34	7.625
131	10.22	9.388	7.617
132	10.25	9.438	7.612
133	10.28	9.488	7.607
134	10.32	9.538	7.603
135	10.36	9.588	7.6
136	10.39	9.636	7.596
137	10.42	9.683	7.591
138	10.46	9.728	7.586
139	10.49	9.772	7.581
140	10.52	9.814	7.575
141	10.55	9.854	7.568
142	10.57	9.892	7.561
143	10.6	9.929	7.554
144	10.62	9.964	7.546
145	10.64	9.997	7.538
146	10.67	10.03	7.529
147	10.69	10.06	7.521
148	10.71	10.09	7.512
149	10.72	10.12	7.504
150	10.74	10.14	7.495
151	10.76	10.17	7.486
152	10.77	10.19	7.478
153	10.79	10.21	7.47
154	10.8	10.23	7.461
155	10.81	10.25	7.453
156	10.82	10.27	7.446
157	10.84	10.28	7.438
158	10.85	10.3	7.431
159	10.85	10.31	7.424
160	10.86	10.33	7.418
161	10.87	10.34	7.412
162	10.88	10.35	7.406
163	10.88	10.36	7.401
164	10.89	10.37	7.397
165	10.89	10.38	7.393
166	10.9	10.38	7.389
167	10.9	10.39	7.386
168	10.91	10.39	7.383
169	10.91	10.4	7.381
170	10.91	10.4	7.38
171	10.91	10.4	7.379
172	10.91	10.4	7.378
173	10.91	10.4	7.379
174	10.91	10.4	7.379
175	10.91	10.4	7.38
176	10.91	10.4	7.382
177	10.9	10.39	7.385
178	10.9	10.39	7.387
179	10.9	10.38	7.391
180	10.89	10.37	7.395
181	10.89	10.36	7.399
182	10.88	10.36	7.404
183	10.87	10.34	7.409
184	10.87	10.33	7.415
185	10.86	10.32	7.421
186	10.85	10.31	7.428
187	10.84	10.29	7.435
188	10.83	10.28	7.442
189	10.82	10.26	7.45
190	10.81	10.24	7.457
191	10.79	10.22	7.465
192	10.78	10.2	7.474
193	10.77	10.18	7.482
194	10.75	10.15	7.491
195	10.73	10.13	7.499
196	10.72	10.1	7.508
197	10.7	10.07	7.517
198	10.68	10.04	7.525
199	10.66	10.01	7.534
200	10.63	9.981	7.542
201	10.61	9.947	7.55
202	10.58	9.911	7.557
203	10.56	9.873	7.565
204	10.53	9.834	7.571
205	10.5	9.793	7.578
206	10.47	9.75	7.583
207	10.44	9.706	7.589
208	10.41	9.66	7.593
209	10.37	9.612	7.598
210	10.34	9.563	7.601
211	10.3	9.513	7.605
212	10.27	9.463	7.609
213	10.23	9.413	7.614
214	10.2	9.364	7.621
215	10.17	9.318	7.631
216	10.14	9.275	7.644
217	10.12	9.234	7.659
218	10.1	9.192	7.674
219	10.07	9.149	7.688
220	10.05	9.104	7.701
221	10.02	9.057	7.714
222	9.992	9.009	7.726
223	9.963	8.959	7.736
224	9.931	8.907	7.746
225	9.899	8.853	7.754
226	9.864	8.798	7.762
227	9.828	8.74	7.768
228	9.79	8.681	7.772
229	9.751	8.619	7.775
230	9.709	8.556	7.776
231	9.666	8.49	7.775
232	9.62	8.422	7.773
233	9.573	8.352	7.768
234	9.523	8.281	7.762
235	9.472	8.207	7.755
236	9.42	8.132	7.745
237	9.368	8.057	7.736
238	9.317	7.983	7.727
239	9.269	7.912	7.721
240	9.229	7.846	7.72
241	9.196	7.786	7.725
242	9.164	7.727	7.731
243	9.131	7.667	7.735
244	9.096	7.605	7.737
245	9.06	7.541	7.738
246	9.023	7.476	7.737
247	8.983	7.41	7.734
248	8.942	7.341	7.73
249	8.899	7.271	7.723
250	8.854	7.199	7.714
251	8.807	7.126	7.703
252	8.758	7.051	7.689
253	8.707	6.974	7.673
254	8.654	6.895	7.654
255	8.598	6.814	7.632
256	8.541	6.732	7.609
257	8.481	6.649	7.582
258	8.421	6.564	7.555
259	8.36	6.48	7.526
260	8.301	6.397	7.498
261	8.246	6.318	7.473
262	8.2	6.245	7.455
263	8.162	6.178	7.444
264	8.124	6.113	7.433
265	8.085	6.046	7.421
266	8.045	5.978	7.406
267	8.003	5.909	7.389
268	7.96	5.839	7.371
269	7.915	5.768	7.35
270	7.869	5.697	7.327
271	7.82	5.624	7.302
272	7.77	5.55	7.274
273	7.718	5.475	7.244
274	7.664	5.399	7.212
275	7.609	5.322	7.177
276	7.551	5.245	7.14
277	7.491	5.166	7.1
278	7.43	5.087	7.058
279	7.367	5.007	7.014
280	7.304	4.928	6.969
281	7.242	4.85	6.924
282	7.182	4.774	6.881
283	7.128	4.702	6.842
284	7.083	4.637	6.812
285	7.043	4.576	6.787
286	7.004	4.515	6.761
287	6.963	4.454	6.733
288	6.921	4.393	6.704
289	6.879	4.332	6.673
290	6.835	4.27	6.641
291	6.79	4.209	6.607
292	6.743	4.147	6.572
293	6.696	4.085	6.535
294	6.647	4.023	6.496
295	6.597	3.961	6.455
296	6.546	3.899	6.413
297	6.494	3.836	6.37
298	6.44	3.774	6.324
299	6.386	3.712	6.278
300	6.33	3.65	6.23
301	6.274	3.589	6.181
302	6.218	3.528	6.131
303	6.161	3.468	6.081
304	6.106	3.409	6.032
305	6.053	3.353	5.984
306	6.003	3.299	5.94
307	5.959	3.248	5.9
308	5.92	3.202	5.866
309	5.886	3.158	5.836
310	5.851	3.115	5.805
311	5.816	3.073	5.774
312	5.781	3.031	5.743
313	5.746	2.989	5.711
314	5.711	2.949	5.678
315	5.675	2.908	5.646
316	5.639	2.869	5.612
317	5.603	2.829	5.579
318	5.567	2.791	5.545
319	5.531	2.753	5.511
320	5.495	2.716	5.477
321	5.459	2.68	5.443
322	5.423	2.644	5.408
323	5.387	2.609	5.374
324	5.352	2.575	5.34
325	5.316	2.542	5.306
326	5.282	2.509	5.273
327	5.247	2.478	5.239
328	5.214	2.447	5.206
329	5.18	2.417	5.174
330	5.148	2.389	5.142
331	5.116	2.361	5.112
332	5.086	2.335	5.082
333	5.056	2.309	5.052
334	5.028	2.285	5.024
335	5	2.262	4.998
336	4.974	2.24	4.972
337	4.95	2.219	4.948
338	4.927	2.2	4.925
339	4.906	2.182	4.904
340	4.886	2.165	4.884
341	4.867	2.149	4.866
342	4.851	2.135	4.85
343	4.836	2.122	4.835
344	4.822	2.11	4.822
345	4.81	2.1	4.81
346	4.8	2.09	4.799
347	4.791	2.082	4.79
348	4.783	2.075	4.782
349	4.776	2.069	4.776
350	4.771	2.063	4.77
351	4.766	2.059	4.766
352	4.763	2.056	4.763
353	4.761	2.054	4.761
354	4.759	2.053	4.759
355	4.759	2.053	4.759
356	4.76	2.053	4.76
357	4.762	2.055	4.762
358	4.765	2.058	4.764
359	4.768	2.061	4.768
360	4.773	2.066	4.773
361	4.779	2.072	4.779
362	4.787	2.078	4.786
363	4.795	2.086	4.795
364	4.805	2.095	4.804
