1		 				2		 			
AM1.5G	13.946365	 	 	Measure Mode	AC-EQE	AM1.5G	13.946973	 	 	Measure Mode	AC-EQE
AM1.5D	11.978026	 	 	AM 1.5G	13.946365	AM1.5D	11.977920	 	 	AM 1.5G	13.946973
AM 0	17.756974	 	 	AM 1.5D	11.978026	AM 0	17.763218	 	 	AM 1.5D	11.977920
Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	17.756974	Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	17.763218
300.0	5.571088	0.013478	0.000000	WL-Range	300-730nm	300.0	5.040205	0.012194	0.000000	WL-Range	300-730nm
305.0	5.536332	0.013618	0.000040	Voltage Bias	0.00	305.0	6.550646	0.016112	0.000044	Voltage Bias	0.00
310.0	13.254513	0.033136	0.000400	Date/Time	03-31_16-51-39	310.0	11.786814	0.029467	0.000382	Date/Time	03-31_16-56-30
315.0	22.360542	0.056803	0.002284	Spent Seconds	79.000000	315.0	18.451264	0.046872	0.001930	Spent Seconds	79.000000
320.0	29.443390	0.075983	0.005648			320.0	27.030703	0.069757	0.004983		
325.0	37.549720	0.098417	0.010656			325.0	38.064466	0.099766	0.010372		
330.0	45.975440	0.122354	0.021557			330.0	46.396393	0.123474	0.021796		
335.0	53.902428	0.145623	0.028730			335.0	53.036120	0.143283	0.028600		
340.0	58.971799	0.161697	0.033346			340.0	57.295880	0.157102	0.032590		
345.0	62.984244	0.175238	0.039898			345.0	62.107245	0.172798	0.039056		
350.0	64.990178	0.183440	0.043227			350.0	64.728961	0.182703	0.042843		
355.0	65.367513	0.187141	0.051305			355.0	66.037156	0.189058	0.051475		
360.0	66.913624	0.194265	0.048150			360.0	66.597280	0.193347	0.048287		
365.0	68.538224	0.201746	0.056655			365.0	68.887822	0.202775	0.056676		
370.0	68.364409	0.203991	0.071505			370.0	68.175122	0.203426	0.071587		
375.0	70.424929	0.212979	0.066342			375.0	70.287637	0.212563	0.066184		
380.0	72.204778	0.221273	0.078683			380.0	72.129743	0.221043	0.078567		
385.0	74.842083	0.232373	0.067979			385.0	74.672016	0.231845	0.067868		
390.0	77.050913	0.242338	0.078989			390.0	76.747648	0.241384	0.078741		
395.0	78.473308	0.249975	0.083832			395.0	78.362214	0.249622	0.083600		
400.0	79.689091	0.257062	0.104280			400.0	79.964608	0.257950	0.104414		
405.0	80.777351	0.263829	0.152134			405.0	80.811779	0.263942	0.152427		
410.0	81.657610	0.269997	0.152337			410.0	82.111873	0.271499	0.152799		
415.0	82.897891	0.277441	0.162637			415.0	82.890873	0.277417	0.163073		
420.0	83.642469	0.283305	0.170228			420.0	83.733453	0.283613	0.170313		
425.0	84.469087	0.289511	0.176169			425.0	84.492272	0.289590	0.176289		
430.0	85.121551	0.295180	0.167401			430.0	85.270957	0.295698	0.167567		
435.0	85.930982	0.301451	0.165355			435.0	85.954678	0.301535	0.165515		
440.0	85.960791	0.305022	0.195873			440.0	86.348002	0.306396	0.196335		
445.0	86.615703	0.310839	0.216098			445.0	86.868280	0.311745	0.216897		
450.0	86.792413	0.314972	0.229251			450.0	86.981263	0.315658	0.229832		
455.0	86.904002	0.318882	0.243088			455.0	87.116726	0.319662	0.243649		
460.0	86.303493	0.320158	0.248433			460.0	87.101051	0.323117	0.249881		
465.0	86.449233	0.324185	0.253573			465.0	86.775994	0.325410	0.255223		
470.0	86.353349	0.327307	0.251383			470.0	86.593675	0.328218	0.252208		
475.0	86.219047	0.330275	0.257352			475.0	86.346706	0.330764	0.257899		
480.0	85.996298	0.332889	0.264260			480.0	86.229052	0.333790	0.264813		
485.0	85.597672	0.334797	0.267499			485.0	85.463530	0.334273	0.267656		
490.0	84.862564	0.335344	0.244117			490.0	84.930585	0.335613	0.244029		
495.0	84.341761	0.336687	0.262962			495.0	84.001619	0.335329	0.262536		
500.0	83.763607	0.337756	0.265106			500.0	83.433975	0.336427	0.264049		
505.0	82.693984	0.336778	0.255444			505.0	82.597584	0.336385	0.254791		
510.0	81.461268	0.335042	0.263535			510.0	81.334697	0.334522	0.263177		
515.0	79.947085	0.332038	0.258361			515.0	79.807992	0.331461	0.257936		
520.0	78.475131	0.329089	0.237010			520.0	78.570895	0.329491	0.236943		
525.0	76.838699	0.325325	0.252767			525.0	77.119336	0.326513	0.253382		
530.0	75.302179	0.321856	0.245310			530.0	75.857529	0.324230	0.246663		
535.0	74.017739	0.319351	0.248099			535.0	74.868144	0.323020	0.250430		
540.0	73.086222	0.318279	0.246990			540.0	73.912272	0.321876	0.249805		
545.0	72.337577	0.317935	0.241607			545.0	73.548383	0.323257	0.245002		
550.0	71.773257	0.318349	0.244266			550.0	73.320669	0.325213	0.248942		
555.0	71.738491	0.321088	0.247481			555.0	73.345646	0.328281	0.252922		
560.0	71.814130	0.324322	0.243126			560.0	73.682875	0.332761	0.249008		
565.0	72.366466	0.329734	0.248334			565.0	74.347198	0.338759	0.254965		
570.0	73.024202	0.335676	0.248529			570.0	75.032534	0.344908	0.255348		
575.0	73.919165	0.342770	0.253035			575.0	76.056480	0.352681	0.260175		
580.0	74.917111	0.350419	0.256187			580.0	76.995146	0.360139	0.263442		
585.0	75.967610	0.358396	0.271198			585.0	78.064316	0.368287	0.278702		
590.0	76.717074	0.365025	0.262489			590.0	78.465087	0.373342	0.269115		
595.0	77.906492	0.373826	0.266310			595.0	79.460841	0.381284	0.271996		
600.0	78.473208	0.379709	0.276121			600.0	79.616712	0.385242	0.280882		
605.0	79.088129	0.385874	0.280817			605.0	80.028803	0.390463	0.284529		
610.0	79.081296	0.389029	0.287273			610.0	79.968090	0.393391	0.290592		
615.0	79.404762	0.393822	0.285500			615.0	79.991300	0.396731	0.288156		
620.0	79.077594	0.395388	0.286343			620.0	79.485981	0.397430	0.288138		
625.0	78.621491	0.396278	0.283995			625.0	78.903408	0.397699	0.285240		
630.0	78.288782	0.397758	0.278544			630.0	78.523559	0.398950	0.279461		
635.0	77.633258	0.397557	0.281513			635.0	77.664694	0.397718	0.281990		
640.0	76.895288	0.396879	0.287987			640.0	76.615617	0.395435	0.287521		
645.0	75.411047	0.392259	0.284782			645.0	74.638815	0.388242	0.282811		
650.0	72.527854	0.380186	0.269636			650.0	70.281819	0.368413	0.264164		
655.0	65.494149	0.345957	0.255434			655.0	61.130452	0.322907	0.243205		
660.0	51.591272	0.274599	0.203476			660.0	45.669296	0.243079	0.185467		
665.0	33.713545	0.180802	0.158679			665.0	28.220460	0.151344	0.137434		
670.0	17.972556	0.097110	0.098774			670.0	14.525016	0.078482	0.081685		
675.0	8.675558	0.047226	0.050881			675.0	6.906000	0.037593	0.040920		
680.0	3.961769	0.021726	0.024200			680.0	3.096240	0.016979	0.019154		
685.0	1.839601	0.010162	0.011078			685.0	1.470760	0.008125	0.008721		
690.0	0.898664	0.005001	0.004478			690.0	0.744778	0.004144	0.003621		
