1		 				2		 				3		 			
AM1.5G	13.946365	 	 	Measure Mode	AC-EQE	AM1.5G	13.946973	 	 	Measure Mode	AC-EQE	AM1.5G	13.231085	 	 	Measure Mode	AC-EQE
AM1.5D	11.978026	 	 	AM 1.5G	13.946365	AM1.5D	11.977920	 	 	AM 1.5G	13.946973	AM1.5D	11.368427	 	 	AM 1.5G	13.231085
AM 0	17.756974	 	 	AM 1.5D	11.978026	AM 0	17.763218	 	 	AM 1.5D	11.977920	AM 0	16.835940	 	 	AM 1.5D	11.368427
Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	17.756974	Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	17.763218	Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	16.835940
300.0	5.571088	0.013478	0.000000	WL-Range	300-730nm	300.0	5.040205	0.012194	0.000000	WL-Range	300-730nm	300.0	5.618932	0.013594	0.000000	WL-Range	300-730nm
305.0	5.536332	0.013618	0.000040	Voltage Bias	0.00	305.0	6.550646	0.016112	0.000044	Voltage Bias	0.00	305.0	4.830155	0.011881	0.000037	Voltage Bias	0.00
310.0	13.254513	0.033136	0.000400	Date/Time	03-31_16-51-39	310.0	11.786814	0.029467	0.000382	Date/Time	03-31_16-56-30	310.0	8.368253	0.020921	0.000274	Date/Time	03-31_17-01-29
315.0	22.360542	0.056803	0.002284	Spent Seconds	79.000000	315.0	18.451264	0.046872	0.001930	Spent Seconds	79.000000	315.0	14.622123	0.037145	0.001477	Spent Seconds	79.000000
320.0	29.443390	0.075983	0.005648			320.0	27.030703	0.069757	0.004983			320.0	23.967068	0.061850	0.004250		
325.0	37.549720	0.098417	0.010656			325.0	38.064466	0.099766	0.010372			325.0	31.609149	0.082847	0.008845		
330.0	45.975440	0.122354	0.021557			330.0	46.396393	0.123474	0.021796			330.0	40.058271	0.106607	0.018514		
335.0	53.902428	0.145623	0.028730			335.0	53.036120	0.143283	0.028600			335.0	46.896435	0.126696	0.025012		
340.0	58.971799	0.161697	0.033346			340.0	57.295880	0.157102	0.032590			340.0	51.136801	0.140214	0.028960		
345.0	62.984244	0.175238	0.039898			345.0	62.107245	0.172798	0.039056			345.0	55.532891	0.154507	0.034890		
350.0	64.990178	0.183440	0.043227			350.0	64.728961	0.182703	0.042843			350.0	57.636350	0.162683	0.038227		
355.0	65.367513	0.187141	0.051305			355.0	66.037156	0.189058	0.051475			355.0	59.488999	0.170311	0.046112		
360.0	66.913624	0.194265	0.048150			360.0	66.597280	0.193347	0.048287			360.0	60.336359	0.175170	0.043621		
