,
,Voc (V),,0.900000,
,Isc (mA),,1.025568,
,Vm (V),,0.750000,
,Im (mA),,0.885467,
,Pmax (W),,0.000664,
,Jsc (mA/cm2),,25.639200,
,FF (%),,71.949313,
,PCE (%),,16.602505,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200000003,1.034736983,25.868424564,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189999998,1.034170971,25.854274281,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.180000007,1.033260021,25.831500534,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.170000002,1.032711007,25.817775168,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.159999996,1.032114029,25.802850723,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150000006,1.031899010,25.797475246,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.140000001,1.031124033,25.778100826,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.129999995,1.031351043,25.783776073,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.119999997,1.030366053,25.759151322,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.109999999,1.029619016,25.740475394,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.100000001,1.029200037,25.730000925,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.090000004,1.027603052,25.690076291,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079999998,1.026988029,25.674700737,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070000000,1.027454971,25.686374283,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059999999,1.026564045,25.664101122,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.050000001,1.026930055,25.673251366,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039999999,1.027268008,25.681700208,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029999999,1.027524006,25.688100141,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020000000,1.026569982,25.664249551,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010000000,1.025881968,25.647049188,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000,1.025567995,25.639199885,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010000000,1.025228994,25.630724849,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020000000,1.024686964,25.617174106,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029999999,1.022954006,25.573850144,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039999999,1.020818949,25.520473719,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000001,1.020847005,25.521175121,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059999999,1.021009986,25.525249657,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070000000,1.020431984,25.510799605,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079999998,1.019401010,25.485025253,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090000004,1.019096002,25.477400050,,,,,,,,,,,,,,,,,,,,,,,,,,
0.100000001,1.018085051,25.452126283,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109999999,1.017992035,25.449800887,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119999997,1.017392031,25.434800773,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129999995,1.015807968,25.395199191,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140000001,1.014982001,25.374550023,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150000006,1.014529029,25.363225723,,,,,,,,,,,,,,,,,,,,,,,,,,
0.159999996,1.013636007,25.340900174,,,,,,,,,,,,,,,,,,,,,,,,,,
0.170000002,1.013064990,25.326624746,,,,,,,,,,,,,,,,,,,,,,,,,,
0.180000007,1.012893044,25.322326110,,,,,,,,,,,,,,,,,,,,,,,,,,
0.189999998,1.011383021,25.284575531,,,,,,,,,,,,,,,,,,,,,,,,,,
0.200000003,1.010744018,25.268600439,,,,,,,,,,,,,,,,,,,,,,,,,,
0.209999993,1.009723986,25.243099662,,,,,,,,,,,,,,,,,,,,,,,,,,
0.219999999,1.009389991,25.234749774,,,,,,,,,,,,,,,,,,,,,,,,,,
0.230000004,1.008830033,25.220750831,,,,,,,,,,,,,,,,,,,,,,,,,,
0.239999995,1.008108957,25.202723918,,,,,,,,,,,,,,,,,,,,,,,,,,
