,
,Voc (V),,0.890000,
,Isc (mA),,1.019152,
,Vm (V),,0.730000,
,Im (mA),,0.863670,
,Pmax (W),,0.000630,
,Jsc (mA/cm2),,25.478800,
,FF (%),,69.509087,
,PCE (%),,15.761972,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200000003,1.028549974,25.713749346,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189999998,1.028059050,25.701476261,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.180000007,1.027001999,25.675049983,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.170000002,1.027132967,25.678324164,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.159999996,1.026439946,25.660998654,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150000006,1.025837963,25.645949063,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.140000001,1.025279984,25.631999597,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.129999995,1.025025034,25.625625858,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.119999997,1.023747027,25.593675673,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.109999999,1.022364013,25.559100322,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.100000001,1.022759010,25.568975252,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.090000004,1.022433047,25.560826180,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079999998,1.021762029,25.544050732,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070000000,1.021752949,25.543823722,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059999999,1.021538978,25.538474438,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.050000001,1.021174015,25.529350387,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039999999,1.020674943,25.516873575,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029999999,1.021123957,25.528098922,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020000000,1.021425007,25.535625173,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010000000,1.020189025,25.504725636,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000,1.019151998,25.478799944,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010000000,1.019346993,25.483674835,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020000000,1.017999952,25.449998793,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029999999,1.016924973,25.423124316,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039999999,1.016992959,25.424823980,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000001,1.015649992,25.391249801,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059999999,1.014234032,25.355850812,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070000000,1.013458008,25.336450199,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079999998,1.012717956,25.317948894,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090000004,1.011995948,25.299898698,,,,,,,,,,,,,,,,,,,,,,,,,,
0.100000001,1.010876033,25.271900813,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109999999,1.010818989,25.270474725,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119999997,1.010076958,25.251923944,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129999995,1.008722000,25.218049996,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140000001,1.008752966,25.218824157,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150000006,1.008116058,25.202901452,,,,,,,,,,,,,,,,,,,,,,,,,,
0.159999996,1.007494982,25.187374558,,,,,,,,,,,,,,,,,,,,,,,,,,
0.170000002,1.006260049,25.156501215,,,,,,,,,,,,,,,,,,,,,,,,,,
0.180000007,1.005521044,25.138026103,,,,,,,,,,,,,,,,,,,,,,,,,,
0.189999998,1.004141988,25.103549706,,,,,,,,,,,,,,,,,,,,,,,,,,
0.200000003,1.002972946,25.074323639,,,,,,,,,,,,,,,,,,,,,,,,,,
0.209999993,1.002643956,25.066098897,,,,,,,,,,,,,,,,,,,,,,,,,,
0.219999999,1.001741039,25.043525966,,,,,,,,,,,,,,,,,,,,,,,,,,
0.230000004,1.000558026,25.013950653,,,,,,,,,,,,,,,,,,,,,,,,,,
0.239999995,0.999002485,24.975062115,,,,,,,,,,,,,,,,,,,,,,,,,,
0.250000000,0.997991883,24.949797080,,,,,,,,,,,,,,,,,,,,,,,,,,
0.259999990,0.996333896,24.908347405,,,,,,,,,,,,,,,,,,,,,,,,,,
0.270000011,0.995749375,24.893734371,,,,,,,,,,,,,,,,,,,,,,,,,,
0.280000001,0.995887560,24.897188996,,,,,,,,,,,,,,,,,,,,,,,,,,
0.289999992,0.995204900,24.880122510,,,,,,,,,,,,,,,,,,,,,,,,,,
0.300000012,0.994720263,24.868006585,,,,,,,,,,,,,,,,,,,,,,,,,,
0.310000002,0.994691509,24.867287721,,,,,,,,,,,,,,,,,,,,,,,,,,
0.319999993,0.993846450,24.846161250,,,,,,,,,,,,,,,,,,,,,,,,,,
0.330000013,0.992492540,24.812313495,,,,,,,,,,,,,,,,,,,,,,,,,,
0.340000004,0.991254696,24.781367392,,,,,,,,,,,,,,,,,,,,,,,,,,
0.349999994,0.990026048,24.750651210,,,,,,,,,,,,,,,,,,,,,,,,,,
0.360000014,0.989455730,24.736393243,,,,,,,,,,,,,,,,,,,,,,,,,,
0.370000005,0.988110900,24.702772498,,,,,,,,,,,,,,,,,,,,,,,,,,
0.379999995,0.987809268,24.695231696,,,,,,,,,,,,,,,,,,,,,,,,,,
0.389999986,0.986796455,24.669911363,,,,,,,,,,,,,,,,,,,,,,,,,,
0.400000006,0.985746621,24.643665529,,,,,,,,,,,,,,,,,,,,,,,,,,
0.409999996,0.984782237,24.619555916,,,,,,,,,,,,,,,,,,,,,,,,,,
0.419999987,0.983070349,24.576758733,,,,,,,,,,,,,,,,,,,,,,,,,,
0.430000007,0.981000252,24.525006302,,,,,,,,,,,,,,,,,,,,,,,,,,
0.439999998,0.979523640,24.488091003,,,,,,,,,,,,,,,,,,,,,,,,,,
0.449999988,0.978660770,24.466519244,,,,,,,,,,,,,,,,,,,,,,,,,,
0.460000008,0.977069023,24.426725577,,,,,,,,,,,,,,,,,,,,,,,,,,
0.469999999,0.974482100,24.362052500,,,,,,,,,,,,,,,,,,,,,,,,,,
0.479999989,0.972018286,24.300457153,,,,,,,,,,,,,,,,,,,,,,,,,,
0.490000010,0.970825320,24.270633003,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500000000,0.968941720,24.223543005,,,,,,,,,,,,,,,,,,,,,,,,,,
0.509999990,0.967808592,24.195214792,,,,,,,,,,,,,,,,,,,,,,,,,,
0.519999981,0.965776504,24.144412600,,,,,,,,,,,,,,,,,,,,,,,,,,
0.529999971,0.962804479,24.070111976,,,,,,,,,,,,,,,,,,,,,,,,,,
