,
,Voc (V),,0.890000,
,Isc (mA),,1.022309,
,Vm (V),,0.730000,
,Im (mA),,0.876275,
,Pmax (W),,0.000640,
,Jsc (mA/cm2),,25.557724,
,FF (%),,70.305773,
,PCE (%),,15.992014,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200000003,1.033414970,25.835374254,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189999998,1.031807973,25.795199326,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.180000007,1.031641965,25.791049120,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.170000002,1.031634049,25.790851214,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.159999996,1.030453946,25.761348661,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150000006,1.028132974,25.703324354,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.140000001,1.027303981,25.682599517,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.129999995,1.027386053,25.684651337,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.119999997,1.028425992,25.710649788,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.109999999,1.027997001,25.699925027,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.100000001,1.026981976,25.674549397,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.090000004,1.027474995,25.686874869,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079999998,1.026705955,25.667648879,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070000000,1.025718055,25.642951368,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059999999,1.025052043,25.626301067,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.050000001,1.024664030,25.616600760,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039999999,1.024157973,25.603949325,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029999999,1.023484045,25.587101118,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020000000,1.022640034,25.566000841,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010000000,1.022428973,25.560724316,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000,1.022308948,25.557723711,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010000000,1.020880998,25.522024953,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020000000,1.019613002,25.490325061,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029999999,1.020128024,25.503200595,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039999999,1.019938965,25.498474133,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000001,1.020221971,25.505549274,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059999999,1.019914984,25.497874594,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070000000,1.019882038,25.497050956,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079999998,1.020170050,25.504251244,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090000004,1.018216019,25.455400464,,,,,,,,,,,,,,,,,,,,,,,,,,
0.100000001,1.017646049,25.441151229,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109999999,1.017051050,25.426276261,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119999997,1.015621005,25.390525116,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129999995,1.015337999,25.383449974,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140000001,1.013766043,25.344151072,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150000006,1.012000022,25.300000561,,,,,,,,,,,,,,,,,,,,,,,,,,
0.159999996,1.011273009,25.281825219,,,,,,,,,,,,,,,,,,,,,,,,,,
0.170000002,1.011225977,25.280649425,,,,,,,,,,,,,,,,,,,,,,,,,,
0.180000007,1.010820968,25.270524202,,,,,,,,,,,,,,,,,,,,,,,,,,
0.189999998,1.010781038,25.269525941,,,,,,,,,,,,,,,,,,,,,,,,,,
0.200000003,1.009696047,25.242401171,,,,,,,,,,,,,,,,,,,,,,,,,,
0.209999993,1.009542961,25.238574017,,,,,,,,,,,,,,,,,,,,,,,,,,
0.219999999,1.009191968,25.229799212,,,,,,,,,,,,,,,,,,,,,,,,,,
0.230000004,1.007755054,25.193876354,,,,,,,,,,,,,,,,,,,,,,,,,,
0.239999995,1.007389044,25.184726110,,,,,,,,,,,,,,,,,,,,,,,,,,
0.250000000,1.007309998,25.182749960,,,,,,,,,,,,,,,,,,,,,,,,,,
0.259999990,1.006091014,25.152275339,,,,,,,,,,,,,,,,,,,,,,,,,,
0.270000011,1.003880985,25.097024627,,,,,,,,,,,,,,,,,,,,,,,,,,
0.280000001,1.002819976,25.070499396,,,,,,,,,,,,,,,,,,,,,,,,,,
0.289999992,1.001675962,25.041899062,,,,,,,,,,,,,,,,,,,,,,,,,,
0.300000012,1.001036027,25.025900686,,,,,,,,,,,,,,,,,,,,,,,,,,
0.310000002,1.000536024,25.013400591,,,,,,,,,,,,,,,,,,,,,,,,,,
0.319999993,1.000019955,25.000498863,,,,,,,,,,,,,,,,,,,,,,,,,,
0.330000013,0.999731827,24.993295665,,,,,,,,,,,,,,,,,,,,,,,,,,
0.340000004,0.998935546,24.973388645,,,,,,,,,,,,,,,,,,,,,,,,,,
0.349999994,0.996385701,24.909642525,,,,,,,,,,,,,,,,,,,,,,,,,,
0.360000014,0.993947964,24.848699104,,,,,,,,,,,,,,,,,,,,,,,,,,
0.370000005,0.993675785,24.841894628,,,,,,,,,,,,,,,,,,,,,,,,,,
0.379999995,0.991390436,24.784760899,,,,,,,,,,,,,,,,,,,,,,,,,,
0.389999986,0.990789151,24.769728770,,,,,,,,,,,,,,,,,,,,,,,,,,
0.400000006,0.989738503,24.743462563,,,,,,,,,,,,,,,,,,,,,,,,,,
0.409999996,0.989397289,24.734932231,,,,,,,,,,,,,,,,,,,,,,,,,,
0.419999987,0.987965614,24.699140340,,,,,,,,,,,,,,,,,,,,,,,,,,
0.430000007,0.986837666,24.670941639,,,,,,,,,,,,,,,,,,,,,,,,,,
0.439999998,0.985529157,24.638228933,,,,,,,,,,,,,,,,,,,,,,,,,,
0.449999988,0.984458602,24.611465051,,,,,,,,,,,,,,,,,,,,,,,,,,
0.460000008,0.983929727,24.598243181,,,,,,,,,,,,,,,,,,,,,,,,,,
0.469999999,0.981630641,24.540766026,,,,,,,,,,,,,,,,,,,,,,,,,,
0.479999989,0.980260433,24.506510817,,,,,,,,,,,,,,,,,,,,,,,,,,
0.490000010,0.978106400,24.452660000,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500000000,0.975658128,24.391453189,,,,,,,,,,,,,,,,,,,,,,,,,,
0.509999990,0.974220689,24.355517235,,,,,,,,,,,,,,,,,,,,,,,,,,
0.519999981,0.971769914,24.294247851,,,,,,,,,,,,,,,,,,,,,,,,,,
