,
,Voc (V),,0.280000,
,Isc (mA),,0.002240,
,Vm (V),,0.130000,
,Im (mA),,0.001219,
,Pmax (W),,0.000000,
,Jsc (mA/cm2),,0.056008,
,FF (%),,25.259279,
,PCE (%),,0.003961,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200000003,0.003807971,0.095199277,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189999998,0.003741722,0.093543048,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.180000007,0.003649840,0.091246000,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.170000002,0.003576429,0.089410725,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.159999996,0.003496849,0.087421228,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150000006,0.003411429,0.085285723,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.140000001,0.003334741,0.083368525,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.129999995,0.003259672,0.081491800,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.119999997,0.003165504,0.079137601,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.109999999,0.003107637,0.077690925,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.100000001,0.003002415,0.075060376,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.090000004,0.002952150,0.073803750,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079999998,0.002847184,0.071179602,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070000000,0.002789622,0.069740548,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059999999,0.002699548,0.067488702,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.050000001,0.002626480,0.065661999,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039999999,0.002542904,0.063572600,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029999999,0.002465935,0.061648376,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020000000,0.002394131,0.059853272,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010000000,0.002301622,0.057540552,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000,0.002240325,0.056008128,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010000000,0.002143641,0.053591026,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020000000,0.002080658,0.052016452,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029999999,0.001993314,0.049832852,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039999999,0.001911525,0.047788126,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000001,0.001845558,0.046138950,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059999999,0.001744458,0.043611450,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070000000,0.001695705,0.042392625,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079999998,0.001586904,0.039672599,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090000004,0.001538065,0.038451626,,,,,,,,,,,,,,,,,,,,,,,,,,
0.100000001,0.001427365,0.035684124,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109999999,0.001384600,0.034614999,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119999997,0.001271874,0.031796850,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129999995,0.001218840,0.030471000,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140000001,0.001129429,0.028235726,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150000006,0.001044902,0.026122549,,,,,,,,,,,,,,,,,,,,,,,,,,
0.159999996,0.000955496,0.023887389,,,,,,,,,,,,,,,,,,,,,,,,,,
0.170000002,0.000917570,0.022939257,,,,,,,,,,,,,,,,,,,,,,,,,,
0.180000007,0.000808015,0.020200382,,,,,,,,,,,,,,,,,,,,,,,,,,
0.189999998,0.000746878,0.018671955,,,,,,,,,,,,,,,,,,,,,,,,,,
0.200000003,0.000665515,0.016637875,,,,,,,,,,,,,,,,,,,,,,,,,,
0.209999993,0.000572402,0.014310045,,,,,,,,,,,,,,,,,,,,,,,,,,
0.219999999,0.000521695,0.013042373,,,,,,,,,,,,,,,,,,,,,,,,,,
0.230000004,0.000405221,0.010130513,,,,,,,,,,,,,,,,,,,,,,,,,,
0.239999995,0.000360724,0.009018098,,,,,,,,,,,,,,,,,,,,,,,,,,
0.250000000,0.000250452,0.006261308,,,,,,,,,,,,,,,,,,,,,,,,,,
0.259999990,0.000192929,0.004823217,,,,,,,,,,,,,,,,,,,,,,,,,,
0.270000011,0.000097422,0.002435555,,,,,,,,,,,,,,,,,,,,,,,,,,
0.280000001,0.000022771,0.000569272,,,,,,,,,,,,,,,,,,,,,,,,,,
0.289999992,-0.000051692,-0.001292311,,,,,,,,,,,,,,,,,,,,,,,,,,
0.300000012,-0.000148814,-0.003720347,,,,,,,,,,,,,,,,,,,,,,,,,,
0.310000002,-0.000199384,-0.004984603,,,,,,,,,,,,,,,,,,,,,,,,,,
0.319999993,-0.000319844,-0.007996090,,,,,,,,,,,,,,,,,,,,,,,,,,
0.330000013,-0.000348199,-0.008704963,,,,,,,,,,,,,,,,,,,,,,,,,,
0.340000004,-0.000484570,-0.012114238,,,,,,,,,,,,,,,,,,,,,,,,,,
0.349999994,-0.000515900,-0.012897500,,,,,,,,,,,,,,,,,,,,,,,,,,
0.360000014,-0.000631136,-0.015778400,,,,,,,,,,,,,,,,,,,,,,,,,,
0.370000005,-0.000691142,-0.017278542,,,,,,,,,,,,,,,,,,,,,,,,,,
0.379999995,-0.000779848,-0.019496197,,,,,,,,,,,,,,,,,,,,,,,,,,
0.389999986,-0.000865760,-0.021643997,,,,,,,,,,,,,,,,,,,,,,,,,,
0.400000006,-0.000932313,-0.023307815,,,,,,,,,,,,,,,,,,,,,,,,,,
0.409999996,-0.001042356,-0.026058899,,,,,,,,,,,,,,,,,,,,,,,,,,
0.419999987,-0.001098279,-0.027456974,,,,,,,,,,,,,,,,,,,,,,,,,,
0.430000007,-0.001201332,-0.030033300,,,,,,,,,,,,,,,,,,,,,,,,,,
0.439999998,-0.001274948,-0.031873699,,,,,,,,,,,,,,,,,,,,,,,,,,
0.449999988,-0.001360160,-0.034004000,,,,,,,,,,,,,,,,,,,,,,,,,,
0.460000008,-0.001452214,-0.036305349,,,,,,,,,,,,,,,,,,,,,,,,,,
0.469999999,-0.001523612,-0.038090300,,,,,,,,,,,,,,,,,,,,,,,,,,
0.479999989,-0.001625496,-0.040637400,,,,,,,,,,,,,,,,,,,,,,,,,,
0.490000010,-0.001687625,-0.042190624,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500000000,-0.001797045,-0.044926125,,,,,,,,,,,,,,,,,,,,,,,,,,
0.509999990,-0.001852549,-0.046313724,,,,,,,,,,,,,,,,,,,,,,,,,,
0.519999981,-0.001959822,-0.048995548,,,,,,,,,,,,,,,,,,,,,,,,,,
0.529999971,-0.002028739,-0.050718472,,,,,,,,,,,,,,,,,,,,,,,,,,
0.540000021,-0.002114216,-0.052855398,,,,,,,,,,,,,,,,,,,,,,,,,,
0.550000012,-0.002204763,-0.055119074,,,,,,,,,,,,,,,,,,,,,,,,,,
0.560000002,-0.002273669,-0.056841725,,,,,,,,,,,,,,,,,,,,,,,,,,
0.569999993,-0.002383129,-0.059578224,,,,,,,,,,,,,,,,,,,,,,,,,,
0.579999983,-0.002439902,-0.060997547,,,,,,,,,,,,,,,,,,,,,,,,,,
0.589999974,-0.002549493,-0.063737326,,,,,,,,,,,,,,,,,,,,,,,,,,
0.600000024,-0.002609372,-0.065234298,,,,,,,,,,,,,,,,,,,,,,,,,,
0.610000014,-0.002715737,-0.067893427,,,,,,,,,,,,,,,,,,,,,,,,,,
0.620000005,-0.002783073,-0.069576822,,,,,,,,,,,,,,,,,,,,,,,,,,
0.629999995,-0.002887132,-0.072178301,,,,,,,,,,,,,,,,,,,,,,,,,,
0.639999986,-0.002962967,-0.074074177,,,,,,,,,,,,,,,,,,,,,,,,,,
0.649999976,-0.003053125,-0.076328126,,,,,,,,,,,,,,,,,,,,,,,,,,
0.660000026,-0.003145157,-0.078628926,,,,,,,,,,,,,,,,,,,,,,,,,,
0.670000017,-0.003224805,-0.080620123,,,,,,,,,,,,,,,,,,,,,,,,,,
0.680000007,-0.003318382,-0.082959548,,,,,,,,,,,,,,,,,,,,,,,,,,
0.689999998,-0.003405556,-0.085138902,,,,,,,,,,,,,,,,,,,,,,,,,,
0.699999988,-0.003493461,-0.087336525,,,,,,,,,,,,,,,,,,,,,,,,,,
0.709999979,-0.003577573,-0.089439322,,,,,,,,,,,,,,,,,,,,,,,,,,
0.720000029,-0.003680397,-0.092009924,,,,,,,,,,,,,,,,,,,,,,,,,,
0.730000019,-0.003758636,-0.093965900,,,,,,,,,,,,,,,,,,,,,,,,,,
0.740000010,-0.003865675,-0.096641872,,,,,,,,,,,,,,,,,,,,,,,,,,
0.750000000,-0.003937547,-0.098438670,,,,,,,,,,,,,,,,,,,,,,,,,,
0.759999990,-0.004047755,-0.101193871,,,,,,,,,,,,,,,,,,,,,,,,,,
0.769999981,-0.004124687,-0.103117179,,,,,,,,,,,,,,,,,,,,,,,,,,
0.779999971,-0.004235736,-0.105893400,,,,,,,,,,,,,,,,,,,,,,,,,,
0.790000021,-0.004313065,-0.107826622,,,,,,,,,,,,,,,,,,,,,,,,,,
0.800000012,-0.004420134,-0.110503345,,,,,,,,,,,,,,,,,,,,,,,,,,
0.810000002,-0.004521280,-0.113032002,,,,,,,,,,,,,,,,,,,,,,,,,,
0.819999993,-0.004628996,-0.115724902,,,,,,,,,,,,,,,,,,,,,,,,,,
